,# of features removed,AOPC-global,sorts
3,3,0.0366311452640845,normal
4,4,0.0415261255917035,normal
5,5,0.045762380882224,normal
6,6,0.0485725542814752,normal
7,7,0.0511070767414243,normal
8,8,0.0531657658854695,normal
9,9,0.0551264711465858,normal
10,10,0.0570707165600954,normal
11,11,0.0587685264563942,normal
12,12,0.0603030740487581,normal
13,13,0.0616738750887686,normal
14,14,0.0630239975990627,normal
15,15,0.0642341810987121,normal
16,16,0.0653480276789654,normal
17,17,0.0663944405562034,normal
18,18,0.0673857923941959,normal
19,19,0.0682943942546334,normal
20,20,0.0691710538894794,normal
21,21,0.0700231115378121,normal
22,22,0.0708377992370811,normal
23,23,0.0716245784591053,normal
24,24,0.0724577758014757,normal
25,25,0.0732529401918088,normal
26,26,0.074031449844014,normal
27,27,0.0747721310494872,normal
28,28,0.0754904693157949,normal
29,29,0.0761755851237797,normal
30,30,0.0768373617537766,normal
0,0,0.0,reverse
1,1,-0.0017081667982096,reverse
2,2,-0.0030151859740125,reverse
3,3,-0.0050593435273605,reverse
4,4,-0.006995388602451,reverse
5,5,-0.0087921086895445,reverse
6,6,-0.0106480266008194,reverse
7,7,-0.0119306875021741,reverse
8,8,-0.0137126391781962,reverse
9,9,-0.0153591394708296,reverse
10,10,-0.0171134169009824,reverse
11,11,-0.0186784806780127,reverse
12,12,-0.0200792157048434,reverse
13,13,-0.0214182243304087,reverse
14,14,-0.0227747683250091,reverse
15,15,-0.0240272045615736,reverse
16,16,-0.0252041840073931,reverse
17,17,-0.0263080146019093,reverse
18,18,-0.0273127129742061,reverse
19,19,-0.0282833225776711,reverse
20,20,-0.0291799067942826,reverse
21,21,-0.0300429121239579,reverse
22,22,-0.0308365856390925,reverse
23,23,-0.0315641902414715,reverse
24,24,-0.0322039145455288,reverse
25,25,-0.032849031200769,reverse
26,26,-0.033448123431258,reverse
27,27,-0.0340154684892934,reverse
28,28,-0.0345386915301161,reverse
29,29,-0.0350340824549341,reverse
30,30,-0.0354771280225779,reverse
