,# of features removed,AOPC-global,optimization
7,7,0.011187951874461515,0.1
8,8,0.012360389163965532,0.1
9,9,0.013531432216489319,0.1
10,10,0.014701554354905383,0.1
11,11,0.015727883471269213,0.1
12,12,0.016717888493321877,0.1
13,13,0.017640711457324026,0.1
14,14,0.018531714004734648,0.1
15,15,0.019427921416683626,0.1
16,16,0.020296663395374413,0.1
17,17,0.021080084741477958,0.1
18,18,0.021831011658087488,0.1
19,19,0.02261864024803737,0.1
20,20,0.02339843033457369,0.1
21,21,0.02423398847793949,0.1
22,22,0.02505291724822894,0.1
23,23,0.025898451472710502,0.1
24,24,0.026717148552171676,0.1
25,25,0.027482282869437893,0.1
26,26,0.02824469239386691,0.1
27,27,0.02897378151813643,0.1
28,28,0.02966262512669059,0.1
29,29,0.030403975653395927,0.1
30,30,0.031127644282203413,0.1
