,# of features removed,AOPC-global,percent
5,5,0.002453702110294904,5
6,6,0.0030741050366778497,5
7,7,0.003545699787512635,5
8,8,0.003986506416463727,5
9,9,0.004321892614349748,5
10,10,0.0049732657315948135,5
11,11,0.0055160764717014435,5
12,12,0.005980346011252475,5
13,13,0.006381868819868957,5
14,14,0.006735177894067151,5
15,15,0.007053984390284249,5
16,16,0.0073352870309322405,5
17,17,0.007587169573580629,5
18,18,0.007851188709164599,5
19,19,0.008089244536621623,5
20,20,0.008304732187496883,5
21,21,0.008501136371982352,5
22,22,0.008711774833175147,5
23,23,0.008905288378677252,5
24,24,0.009123216974247103,5
25,25,0.009325460701019493,5
26,26,0.009512786109162959,5
27,27,0.009709374332723718,5
28,28,0.00989305897792858,5
29,29,0.01007792697612073,5
30,30,0.01025301033262699,5
0,0,0.0,10
1,1,0.0001375385299880684,10
2,2,0.0008588816381408143,10
3,3,0.0014202252577517954,10
4,4,0.0019865212841274683,10
5,5,0.0028528925829343853,10
6,6,0.0036460969072855376,10
7,7,0.0044250559861645136,10
8,8,0.005309659076016652,10
9,9,0.00601755954256806,10
10,10,0.006601379555444827,10
11,11,0.007140444828702116,10
12,12,0.0076541340523501545,10
13,13,0.008262674863192303,10
14,14,0.009055525351755304,10
15,15,0.009749912864227238,10
16,16,0.010386968747548006,10
17,17,0.011001221733142238,10
18,18,0.011541732770108207,10
19,19,0.012041809044327379,10
20,20,0.012526525643189079,10
21,21,0.013067157020334695,10
22,22,0.013563587094715598,10
23,23,0.014021975636547427,10
24,24,0.014449876171060664,10
25,25,0.014844863104755938,10
26,26,0.015210754376557308,10
27,27,0.01555090783510146,10
28,28,0.015868571460659613,10
29,29,0.016165193623271314,10
30,30,0.016442684929925403,10
