,# of features removed,AOPC-global,percent
3,3,0.028042299032402213,25
4,4,0.039380539033438855,25
5,5,0.049394965988422045,25
6,6,0.05829496844584194,25
7,7,0.06575260047103132,25
8,8,0.07197913553187824,25
9,9,0.07700009070329282,25
10,10,0.082047239245174,25
11,11,0.08714042258046771,25
12,12,0.09252030657128701,25
13,13,0.09748807431556349,25
14,14,0.1020739288478554,25
15,15,0.10642862375539906,25
16,16,0.11053997215524422,25
17,17,0.11440864783314907,25
18,18,0.11806327887233768,25
19,19,0.12177825624051623,25
20,20,0.12513942624029684,25
21,21,0.12819503533100646,25
22,22,0.13098493928339353,25
23,23,0.1335423512397483,25
24,24,0.13589517023959474,25
25,25,0.1380670031625299,25
26,26,0.14007795957265504,25
27,27,0.1419452762391998,25
28,28,0.14368381244598288,25
29,29,0.14530644623898042,25
30,30,0.14682439398081681,25
0,0,0.0,50
1,1,0.00045379879743122044,50
2,2,0.01814117333622535,50
3,3,0.03373181633478557,50
4,4,0.04393215287534554,50
5,5,0.05318797752334429,50
6,6,0.060693715337199895,50
7,7,0.06730473942595296,50
8,8,0.07287280164734943,50
9,9,0.07855003966716893,50
10,10,0.08445991397360492,50
11,11,0.09024564568046502,50
12,12,0.0951718241422213,50
13,13,0.09984891874295465,50
14,14,0.10426727773483101,50
15,15,0.10879876151551736,50
16,16,0.11281250690548777,50
17,17,0.116396829640695,50
18,18,0.11971071623078663,50
19,19,0.12285103960266049,50
20,20,0.12583969377110565,50
21,21,0.12874787198372784,50
22,22,0.1316201277661237,50
23,23,0.13444354969932878,50
24,24,0.1372144149199369,50
25,25,0.13992039003914306,50
26,26,0.14242592255692654,50
27,27,0.1447524884662969,50
28,28,0.14691860155433137,50
29,29,0.14894030710316353,50
30,30,0.15083158003594202,50
0,0,0.0,75
1,1,0.00045379879743122044,75
2,2,0.01814117333622535,75
3,3,0.03373181633478557,75
4,4,0.04393215287534554,75
5,5,0.05177588414521811,75
6,6,0.059483349584520305,75
7,7,0.06624566939235832,75
8,8,0.07193140606193198,75
9,9,0.07751299913938706,75
10,10,0.08319138278703425,75
11,11,0.08908282542610858,75
12,12,0.09455752172603238,75
13,13,0.09927849507077922,75
14,14,0.10342699394281472,75
15,15,0.10739900264763402,75
16,16,0.11152999354039886,75
17,17,0.1152019895647524,75
18,18,0.11850121837176357,75
19,19,0.1214854184477838,75
20,20,0.12428209274100296,75
21,21,0.12696800159010344,75
22,22,0.12955494416848848,75
23,23,0.13205076708793503,75
24,24,0.13454652979502746,75
25,25,0.1370121121903737,75
