# of features removed,AOPC-global,percent
5,0.0188023492995733,75
6,0.0197357300786335,75
7,0.0210818305042744,75
8,0.0225906986461024,75
9,0.0237365960333982,75
10,0.0259773004634939,75
11,0.0285121834634994,75
12,0.0312957216468088,75
13,0.0341372844422027,75
14,0.0376932135557986,75
15,0.0414908456955664,75
16,0.0455322898746631,75
17,0.0493297955697901,75
18,0.0529408774975046,75
19,0.0562452946041683,75
20,0.0595587980720144,75
21,0.0627341518355029,75
22,0.0658793145324413,75
23,0.0690407955583347,75
24,0.0721214362543152,75
25,0.0750453786797674,75
26,0.0777347502749304,75
27,0.0804681044659864,75
28,0.0830235176191314,75
29,0.0854353368606824,75
30,0.0877610223192629,75
