,# of features removed,AOPC-global,optimization
5,5,0.018802349299573327,0.1
6,6,0.019735730078633513,0.1
7,7,0.02108183050427448,0.1
8,8,0.02374800861584271,0.1
9,9,0.026297439980366728,0.1
10,10,0.02830534041528349,0.1
11,11,0.03056789994847975,0.1
12,12,0.033720083392751385,0.1
13,13,0.036938121947182885,0.1
14,14,0.040307328560446797,0.1
15,15,0.04398913865631054,0.1
16,16,0.047883624425951614,0.1
17,17,0.05157323846223372,0.1
18,18,0.0550662444482407,0.1
19,19,0.05826439320736758,0.1
20,20,0.061328799867521655,0.1
21,21,0.06442369900394161,0.1
22,22,0.06725635671028543,0.1
23,23,0.07015385549193388,0.1
24,24,0.07303386916035512,0.1
25,25,0.07594253751691958,0.1
26,26,0.07864799858240137,0.1
27,27,0.08141272880271713,0.1
28,28,0.08414262580495753,0.1
29,29,0.08667320768049026,0.1
30,30,0.08910338517986588,0.1
