,# of features removed,AOPC-global,percents-remove
3,3,0.025789594058724857,10
4,4,0.04225537258998534,10
5,5,0.054248731118428234,10
6,6,0.06340037081033557,10
7,7,0.07246447404763653,10
8,8,0.08079643040404785,10
9,9,0.08827366392584725,10
10,10,0.09475303379707926,10
11,11,0.10037459340239574,10
12,12,0.10533349651612786,10
13,13,0.10985375153970746,10
14,14,0.11399501054151041,10
15,15,0.11795173585461986,10
16,16,0.12171452688522033,10
17,17,0.1252856652198717,10
18,18,0.12872472744030902,10
19,19,0.13274020306019968,10
20,20,0.13655769581048918,10
21,21,0.14157153930004543,10
22,22,0.14622620774233203,10
23,23,0.1504929871477614,10
24,24,0.15441842420075644,10
25,25,0.15804190455736725,10
26,26,0.1613969789616365,10
27,27,0.16451240519417223,10
28,28,0.1674129744451538,10
29,29,0.17012017241273655,10
30,30,0.1726527124469269,10
