,time (minutes),AOPC-global,optimization
16,5.956124376801637,0.12841880239925804,desired-0.1
17,6.306484634260557,0.12841880239925804,desired-0.1
18,6.6568448917194765,0.13247915535559038,desired-0.1
19,7.007205149178397,0.13247915535559038,desired-0.1
0,0.5936628065337153,0.10774104385884256,masking-0.1
1,1.1873256130674306,0.10948414683180141,masking-0.1
2,1.7809884196011458,0.13417076972829425,masking-0.1
3,2.374651226134861,0.13848114674994172,masking-0.1
4,2.9683140326685757,0.13963486570866449,masking-0.1
5,3.5619768392022917,0.13533211226730257,masking-0.1
6,4.155639645736007,0.13244691649340976,masking-0.1
7,4.749302452269722,0.13475463126495565,masking-0.1
8,5.342965258803437,0.1348273666023476,masking-0.1
9,5.9366280653371515,0.12778217963710842,masking-0.1
10,6.530290871870868,0.12778217963710842,masking-0.1
11,7.123953678404583,0.12778217963710842,masking-0.1
12,7.717616484938299,0.12350209892671464,masking-0.1
13,8.311279291472013,0.12350209892671464,masking-0.1
14,8.904942098005728,0.12435596264762216,masking-0.1
15,9.498604904539445,0.12563649172577518,masking-0.1
16,10.09226771107316,0.1201534132057706,masking-0.1
17,10.685930517606874,0.11988381539643517,masking-0.1
18,11.27959332414059,0.12485300470664557,masking-0.1
19,11.873256130674303,0.12485300470664557,masking-0.1
0,0.3459672400792144,0.10405703824092609,topk-masking-0.1
1,0.6919344801584288,0.11379015204857214,topk-masking-0.1
2,1.0379017202376433,0.13287459088706555,topk-masking-0.1
3,1.3838689603168577,0.13675097335105466,topk-masking-0.1
4,1.729836200396072,0.13675097335105466,topk-masking-0.1
5,2.0758034404752865,0.13475463126495565,topk-masking-0.1
6,2.4217706805545007,0.13154861091955478,topk-masking-0.1
7,2.7677379206337154,0.12804674937345936,topk-masking-0.1
8,3.1137051607129296,0.12804674937345936,topk-masking-0.1
9,3.459672400792144,0.12778217963710842,topk-masking-0.1
10,3.8056396408713584,0.12804674937345936,topk-masking-0.1
11,4.151606880950573,0.12443931993120956,topk-masking-0.1
12,4.497574121029788,0.12443931993120956,topk-masking-0.1
13,4.8435413611090015,0.1201534132057706,topk-masking-0.1
14,5.1895086011882166,0.1201534132057706,topk-masking-0.1
15,5.535475841267431,0.1201534132057706,topk-masking-0.1
16,5.881443081346645,0.1201534132057706,topk-masking-0.1
17,6.227410321425859,0.1201534132057706,topk-masking-0.1
18,6.573377561505074,0.1201534132057706,topk-masking-0.1
19,6.919344801584288,0.1201534132057706,topk-masking-0.1
0,0.133888631061964,0.13307989522564778,topk-masking-0.5
