,# of features removed,AOPC-global,percents-remove
4,4,0.026943912278129943,75
5,5,0.030070748029106448,75
6,6,0.03270960166104102,75
7,7,0.0354734560635399,75
8,8,0.03812257211388031,75
9,9,0.040913053424685694,75
10,10,0.04358922370280037,75
11,11,0.04638899220864659,75
12,12,0.04882222659827972,75
13,13,0.05118430044541392,75
14,14,0.053508657318377485,75
15,15,0.0553603338676226,75
16,16,0.057208631544079236,75
17,17,0.05907690705346878,75
18,18,0.060797694585714046,75
19,19,0.06257280541538109,75
20,20,0.06433971331749537,75
21,21,0.06617411050388987,75
22,22,0.06801981499693435,75
23,23,0.06973444478902611,75
24,24,0.07145571443670085,75
25,25,0.07303320611552057,75
26,26,0.07459312020294291,75
27,27,0.07614495328562768,75
28,28,0.07756696494333905,75
29,29,0.0789657446811199,75
30,30,0.08035999764534583,75
