,# of features removed,AOPC-global,percent
4,4,0.025107141825441492,25
5,5,0.02755968356752701,25
6,6,0.029530026560026432,25
7,7,0.031160971385655954,25
8,8,0.03258797952639822,25
9,9,0.03408333834248594,25
10,10,0.0361935307698989,25
11,11,0.03807268894217334,25
12,12,0.039723812250781095,25
13,13,0.041272520779823345,25
14,14,0.04269084825419688,25
15,15,0.04399967979856986,25
16,16,0.045230264504828276,25
17,17,0.046322778384241446,25
18,18,0.04733948809221368,25
19,19,0.04830732554541466,25
20,20,0.049232687388383344,25
21,21,0.05015187785557265,25
22,22,0.05102038838637192,25
23,23,0.05183808711570618,25
24,24,0.0526098844978333,25
25,25,0.05335165816901531,25
26,26,0.054066682709860425,25
27,27,0.05476294265886305,25
28,28,0.05543213517733857,25
29,29,0.05608928753723779,25
30,30,0.05672273811505734,25
