# of features removed,AOPC-global,percent
8,0.0339989978238231,100
9,0.0359950500609441,100
10,0.0377500743312921,100
11,0.0393971421181586,100
12,0.0408580467449847,100
13,0.0421658903665566,100
14,0.0433181886757937,100
15,0.0444567552181103,100
16,0.0455209809551688,100
17,0.046519463850445,100
18,0.0475045682184701,100
19,0.0484149337008259,100
20,0.0495022472084826,100
21,0.0505571155367361,100
22,0.0515873106031477,100
23,0.0525828555210963,100
24,0.0536095338753926,100
25,0.0546437627707881,100
26,0.0556261010926262,100
27,0.056611379945594,100
28,0.0575737789127658,100
29,0.0584926921913814,100
30,0.0593804270919325,100
